case_index,pack_index,pack_case_index,adventure_index,adventure_id,adventure_title,source_book,publisher,page_count,dimension,profile,model_alias,runtime_key,manifest_path
56,2,1,6,ADV-0386,Elfsong Tavern,Baldur's Gate: Descent into Avernus,Wizards of the Coast,4,# of Sessions,nos-clean-blind-v1,qwen27,base,experiments/production-backlog-017/production-backlog-017-qwen27-nos-adv0386-v1.yml
57,2,2,6,ADV-0386,Elfsong Tavern,Baldur's Gate: Descent into Avernus,Wizards of the Coast,4,Exploration Emphasis,ee-clean-reset-v0.5,gptoss,ee,experiments/production-backlog-017/production-backlog-017-gptoss-ee-adv0386-v1.yml
58,2,3,6,ADV-0386,Elfsong Tavern,Baldur's Gate: Descent into Avernus,Wizards of the Coast,4,GM Preparation Burden,gmpb-v0.6-dependency-fan-out,gemma,gmpb,experiments/production-backlog-017/production-backlog-017-gemma-gmpb-adv0386-v1.yml
59,2,4,6,ADV-0386,Elfsong Tavern,Baldur's Gate: Descent into Avernus,Wizards of the Coast,4,Combat Emphasis,production-base,qwen,base,experiments/production-backlog-017/production-backlog-017-qwen-combat-adv0386-v1.yml
60,2,5,6,ADV-0386,Elfsong Tavern,Baldur's Gate: Descent into Avernus,Wizards of the Coast,4,Social Interaction Emphasis,phase6-v0.3,qwen,base,experiments/production-backlog-017/production-backlog-017-qwen-social-adv0386-v1.yml
61,2,6,6,ADV-0386,Elfsong Tavern,Baldur's Gate: Descent into Avernus,Wizards of the Coast,4,Investigation Emphasis,phase6-v0.4,qwen,base,experiments/production-backlog-017/production-backlog-017-qwen-investigation-adv0386-v1.yml
62,2,7,6,ADV-0386,Elfsong Tavern,Baldur's Gate: Descent into Avernus,Wizards of the Coast,4,Structural Openness,production-base,qwen,base,experiments/production-backlog-017/production-backlog-017-qwen-structural-openness-adv0386-v1.yml
63,2,8,6,ADV-0386,Elfsong Tavern,Baldur's Gate: Descent into Avernus,Wizards of the Coast,4,Darkness / Horror Intensity,production-base,qwen,base,experiments/production-backlog-017/production-backlog-017-qwen-darkness-adv0386-v1.yml
64,2,9,6,ADV-0386,Elfsong Tavern,Baldur's Gate: Descent into Avernus,Wizards of the Coast,4,Player Beginner Suitability,production-base,qwen,base,experiments/production-backlog-017/production-backlog-017-qwen-player-beginner-adv0386-v1.yml
65,2,10,6,ADV-0386,Elfsong Tavern,Baldur's Gate: Descent into Avernus,Wizards of the Coast,4,GM Beginner Suitability,gmbs-clean-blind-v0.3,qwen,base,experiments/production-backlog-017/production-backlog-017-qwen-gmbs-adv0386-v1.yml
