case_index,pack_index,pack_case_index,adventure_index,adventure_id,adventure_title,source_book,publisher,page_count,dimension,profile,model_alias,runtime_key,manifest_path
301,6,1,26,ADV-0521,Skyreach Temple,Sunken Isles,Ghostfire Gaming,7,# of Sessions,nos-clean-blind-v1,qwen27,base,experiments/production-backlog-021/production-backlog-021-qwen27-nos-adv0521-v1.yml
302,6,2,26,ADV-0521,Skyreach Temple,Sunken Isles,Ghostfire Gaming,7,Exploration Emphasis,ee-clean-reset-v0.5,gptoss,ee,experiments/production-backlog-021/production-backlog-021-gptoss-ee-adv0521-v1.yml
303,6,3,26,ADV-0521,Skyreach Temple,Sunken Isles,Ghostfire Gaming,7,GM Preparation Burden,gmpb-v0.6-dependency-fan-out,gemma,gmpb,experiments/production-backlog-021/production-backlog-021-gemma-gmpb-adv0521-v1.yml
304,6,4,26,ADV-0521,Skyreach Temple,Sunken Isles,Ghostfire Gaming,7,Combat Emphasis,production-base,qwen,base,experiments/production-backlog-021/production-backlog-021-qwen-combat-adv0521-v1.yml
305,6,5,26,ADV-0521,Skyreach Temple,Sunken Isles,Ghostfire Gaming,7,Social Interaction Emphasis,phase6-v0.3,qwen,base,experiments/production-backlog-021/production-backlog-021-qwen-social-adv0521-v1.yml
306,6,6,26,ADV-0521,Skyreach Temple,Sunken Isles,Ghostfire Gaming,7,Investigation Emphasis,phase6-v0.4,qwen,base,experiments/production-backlog-021/production-backlog-021-qwen-investigation-adv0521-v1.yml
307,6,7,26,ADV-0521,Skyreach Temple,Sunken Isles,Ghostfire Gaming,7,Structural Openness,production-base,qwen,base,experiments/production-backlog-021/production-backlog-021-qwen-structural-openness-adv0521-v1.yml
308,6,8,26,ADV-0521,Skyreach Temple,Sunken Isles,Ghostfire Gaming,7,Darkness / Horror Intensity,production-base,qwen,base,experiments/production-backlog-021/production-backlog-021-qwen-darkness-adv0521-v1.yml
309,6,9,26,ADV-0521,Skyreach Temple,Sunken Isles,Ghostfire Gaming,7,Player Beginner Suitability,production-base,qwen,base,experiments/production-backlog-021/production-backlog-021-qwen-player-beginner-adv0521-v1.yml
310,6,10,26,ADV-0521,Skyreach Temple,Sunken Isles,Ghostfire Gaming,7,GM Beginner Suitability,gmbs-clean-blind-v0.3,qwen,base,experiments/production-backlog-021/production-backlog-021-qwen-gmbs-adv0521-v1.yml
311,6,11,26,ADV-0521,Skyreach Temple,Sunken Isles,Ghostfire Gaming,7,Seriousness,seriousness-reset-only,qwen,seriousness,experiments/production-backlog-021/production-backlog-021-qwen-seriousness-adv0521-v1.yml
312,6,12,26,ADV-0521,Skyreach Temple,Sunken Isles,Ghostfire Gaming,7,Levels,levels-v2.1,qwen,base,experiments/production-backlog-021/production-backlog-021-qwen-levels-adv0521-v1.yml
313,6,13,27,ADV-0522,The Entropy Abyss,Sunken Isles,Ghostfire Gaming,5,# of Sessions,nos-clean-blind-v1,qwen27,base,experiments/production-backlog-021/production-backlog-021-qwen27-nos-adv0522-v1.yml
314,6,14,27,ADV-0522,The Entropy Abyss,Sunken Isles,Ghostfire Gaming,5,Exploration Emphasis,ee-clean-reset-v0.5,gptoss,ee,experiments/production-backlog-021/production-backlog-021-gptoss-ee-adv0522-v1.yml
315,6,15,27,ADV-0522,The Entropy Abyss,Sunken Isles,Ghostfire Gaming,5,GM Preparation Burden,gmpb-v0.6-dependency-fan-out,gemma,gmpb,experiments/production-backlog-021/production-backlog-021-gemma-gmpb-adv0522-v1.yml
316,6,16,27,ADV-0522,The Entropy Abyss,Sunken Isles,Ghostfire Gaming,5,Combat Emphasis,production-base,qwen,base,experiments/production-backlog-021/production-backlog-021-qwen-combat-adv0522-v1.yml
317,6,17,27,ADV-0522,The Entropy Abyss,Sunken Isles,Ghostfire Gaming,5,Social Interaction Emphasis,phase6-v0.3,qwen,base,experiments/production-backlog-021/production-backlog-021-qwen-social-adv0522-v1.yml
318,6,18,27,ADV-0522,The Entropy Abyss,Sunken Isles,Ghostfire Gaming,5,Investigation Emphasis,phase6-v0.4,qwen,base,experiments/production-backlog-021/production-backlog-021-qwen-investigation-adv0522-v1.yml
319,6,19,27,ADV-0522,The Entropy Abyss,Sunken Isles,Ghostfire Gaming,5,Structural Openness,production-base,qwen,base,experiments/production-backlog-021/production-backlog-021-qwen-structural-openness-adv0522-v1.yml
320,6,20,27,ADV-0522,The Entropy Abyss,Sunken Isles,Ghostfire Gaming,5,Darkness / Horror Intensity,production-base,qwen,base,experiments/production-backlog-021/production-backlog-021-qwen-darkness-adv0522-v1.yml
321,6,21,27,ADV-0522,The Entropy Abyss,Sunken Isles,Ghostfire Gaming,5,Player Beginner Suitability,production-base,qwen,base,experiments/production-backlog-021/production-backlog-021-qwen-player-beginner-adv0522-v1.yml
322,6,22,27,ADV-0522,The Entropy Abyss,Sunken Isles,Ghostfire Gaming,5,GM Beginner Suitability,gmbs-clean-blind-v0.3,qwen,base,experiments/production-backlog-021/production-backlog-021-qwen-gmbs-adv0522-v1.yml
