case_index,pack_index,pack_case_index,adventure_index,adventure_id,adventure_title,source_book,publisher,page_count,dimension,profile,model_alias,runtime_key,manifest_path
1,1,1,1,ADV-0496,The Eruption,Sunken Isles,Ghostfire Gaming,4,# of Sessions,nos-clean-blind-v1,qwen27,base,experiments/production-backlog-021/production-backlog-021-qwen27-nos-adv0496-v1.yml
2,1,2,1,ADV-0496,The Eruption,Sunken Isles,Ghostfire Gaming,4,Exploration Emphasis,ee-clean-reset-v0.5,gptoss,ee,experiments/production-backlog-021/production-backlog-021-gptoss-ee-adv0496-v1.yml
3,1,3,1,ADV-0496,The Eruption,Sunken Isles,Ghostfire Gaming,4,GM Preparation Burden,gmpb-v0.6-dependency-fan-out,gemma,gmpb,experiments/production-backlog-021/production-backlog-021-gemma-gmpb-adv0496-v1.yml
4,1,4,1,ADV-0496,The Eruption,Sunken Isles,Ghostfire Gaming,4,Combat Emphasis,production-base,qwen,base,experiments/production-backlog-021/production-backlog-021-qwen-combat-adv0496-v1.yml
5,1,5,1,ADV-0496,The Eruption,Sunken Isles,Ghostfire Gaming,4,Social Interaction Emphasis,phase6-v0.3,qwen,base,experiments/production-backlog-021/production-backlog-021-qwen-social-adv0496-v1.yml
6,1,6,1,ADV-0496,The Eruption,Sunken Isles,Ghostfire Gaming,4,Investigation Emphasis,phase6-v0.4,qwen,base,experiments/production-backlog-021/production-backlog-021-qwen-investigation-adv0496-v1.yml
7,1,7,1,ADV-0496,The Eruption,Sunken Isles,Ghostfire Gaming,4,Structural Openness,production-base,qwen,base,experiments/production-backlog-021/production-backlog-021-qwen-structural-openness-adv0496-v1.yml
8,1,8,1,ADV-0496,The Eruption,Sunken Isles,Ghostfire Gaming,4,Darkness / Horror Intensity,production-base,qwen,base,experiments/production-backlog-021/production-backlog-021-qwen-darkness-adv0496-v1.yml
9,1,9,1,ADV-0496,The Eruption,Sunken Isles,Ghostfire Gaming,4,Player Beginner Suitability,production-base,qwen,base,experiments/production-backlog-021/production-backlog-021-qwen-player-beginner-adv0496-v1.yml
10,1,10,1,ADV-0496,The Eruption,Sunken Isles,Ghostfire Gaming,4,GM Beginner Suitability,gmbs-clean-blind-v0.3,qwen,base,experiments/production-backlog-021/production-backlog-021-qwen-gmbs-adv0496-v1.yml
11,1,11,1,ADV-0496,The Eruption,Sunken Isles,Ghostfire Gaming,4,Seriousness,seriousness-reset-only,qwen,seriousness,experiments/production-backlog-021/production-backlog-021-qwen-seriousness-adv0496-v1.yml
12,1,12,1,ADV-0496,The Eruption,Sunken Isles,Ghostfire Gaming,4,Levels,levels-v2.1,qwen,base,experiments/production-backlog-021/production-backlog-021-qwen-levels-adv0496-v1.yml
13,1,13,2,ADV-0497,The Empty Port Town / Taking Inventory,Sunken Isles,Ghostfire Gaming,5,# of Sessions,nos-clean-blind-v1,qwen27,base,experiments/production-backlog-021/production-backlog-021-qwen27-nos-adv0497-v1.yml
14,1,14,2,ADV-0497,The Empty Port Town / Taking Inventory,Sunken Isles,Ghostfire Gaming,5,Exploration Emphasis,ee-clean-reset-v0.5,gptoss,ee,experiments/production-backlog-021/production-backlog-021-gptoss-ee-adv0497-v1.yml
15,1,15,2,ADV-0497,The Empty Port Town / Taking Inventory,Sunken Isles,Ghostfire Gaming,5,GM Preparation Burden,gmpb-v0.6-dependency-fan-out,gemma,gmpb,experiments/production-backlog-021/production-backlog-021-gemma-gmpb-adv0497-v1.yml
16,1,16,2,ADV-0497,The Empty Port Town / Taking Inventory,Sunken Isles,Ghostfire Gaming,5,Combat Emphasis,production-base,qwen,base,experiments/production-backlog-021/production-backlog-021-qwen-combat-adv0497-v1.yml
17,1,17,2,ADV-0497,The Empty Port Town / Taking Inventory,Sunken Isles,Ghostfire Gaming,5,Social Interaction Emphasis,phase6-v0.3,qwen,base,experiments/production-backlog-021/production-backlog-021-qwen-social-adv0497-v1.yml
18,1,18,2,ADV-0497,The Empty Port Town / Taking Inventory,Sunken Isles,Ghostfire Gaming,5,Investigation Emphasis,phase6-v0.4,qwen,base,experiments/production-backlog-021/production-backlog-021-qwen-investigation-adv0497-v1.yml
19,1,19,2,ADV-0497,The Empty Port Town / Taking Inventory,Sunken Isles,Ghostfire Gaming,5,Structural Openness,production-base,qwen,base,experiments/production-backlog-021/production-backlog-021-qwen-structural-openness-adv0497-v1.yml
20,1,20,2,ADV-0497,The Empty Port Town / Taking Inventory,Sunken Isles,Ghostfire Gaming,5,Darkness / Horror Intensity,production-base,qwen,base,experiments/production-backlog-021/production-backlog-021-qwen-darkness-adv0497-v1.yml
21,1,21,2,ADV-0497,The Empty Port Town / Taking Inventory,Sunken Isles,Ghostfire Gaming,5,Player Beginner Suitability,production-base,qwen,base,experiments/production-backlog-021/production-backlog-021-qwen-player-beginner-adv0497-v1.yml
22,1,22,2,ADV-0497,The Empty Port Town / Taking Inventory,Sunken Isles,Ghostfire Gaming,5,GM Beginner Suitability,gmbs-clean-blind-v0.3,qwen,base,experiments/production-backlog-021/production-backlog-021-qwen-gmbs-adv0497-v1.yml
23,1,23,2,ADV-0497,The Empty Port Town / Taking Inventory,Sunken Isles,Ghostfire Gaming,5,Seriousness,seriousness-reset-only,qwen,seriousness,experiments/production-backlog-021/production-backlog-021-qwen-seriousness-adv0497-v1.yml
24,1,24,2,ADV-0497,The Empty Port Town / Taking Inventory,Sunken Isles,Ghostfire Gaming,5,Levels,levels-v2.1,qwen,base,experiments/production-backlog-021/production-backlog-021-qwen-levels-adv0497-v1.yml
25,1,25,3,ADV-0498,The King's Request,Sunken Isles,Ghostfire Gaming,1,# of Sessions,nos-clean-blind-v1,qwen27,base,experiments/production-backlog-021/production-backlog-021-qwen27-nos-adv0498-v1.yml
26,1,26,3,ADV-0498,The King's Request,Sunken Isles,Ghostfire Gaming,1,Exploration Emphasis,ee-clean-reset-v0.5,gptoss,ee,experiments/production-backlog-021/production-backlog-021-gptoss-ee-adv0498-v1.yml
27,1,27,3,ADV-0498,The King's Request,Sunken Isles,Ghostfire Gaming,1,GM Preparation Burden,gmpb-v0.6-dependency-fan-out,gemma,gmpb,experiments/production-backlog-021/production-backlog-021-gemma-gmpb-adv0498-v1.yml
28,1,28,3,ADV-0498,The King's Request,Sunken Isles,Ghostfire Gaming,1,Combat Emphasis,production-base,qwen,base,experiments/production-backlog-021/production-backlog-021-qwen-combat-adv0498-v1.yml
