case_index,pack_index,pack_case_index,adventure_id,adventure_title,source_book,publisher,page_count,dimension,profile,manifest_path
1,1,1,ADV-0148,The Blight on Soubar,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Levels,levels-v2.1,experiments/production-backlog-004/production-backlog-004-qwen-levels-adv0148-v1.yml
2,1,2,ADV-0148,The Blight on Soubar,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Combat Emphasis,production-base,experiments/production-backlog-004/production-backlog-004-qwen-combat-adv0148-v1.yml
3,1,3,ADV-0148,The Blight on Soubar,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Structural Openness,production-base,experiments/production-backlog-004/production-backlog-004-qwen-structural-openness-adv0148-v1.yml
4,1,4,ADV-0148,The Blight on Soubar,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Darkness / Horror Intensity,production-base,experiments/production-backlog-004/production-backlog-004-qwen-darkness-adv0148-v1.yml
5,1,5,ADV-0148,The Blight on Soubar,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Player Beginner Suitability,production-base,experiments/production-backlog-004/production-backlog-004-qwen-player-beginner-adv0148-v1.yml
6,1,6,ADV-0148,The Blight on Soubar,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Social Interaction Emphasis,phase6-v0.3,experiments/production-backlog-004/production-backlog-004-qwen-social-adv0148-v1.yml
7,1,7,ADV-0148,The Blight on Soubar,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Investigation Emphasis,phase6-v0.4,experiments/production-backlog-004/production-backlog-004-qwen-investigation-adv0148-v1.yml
8,1,8,ADV-0246,Temple of Paladine,Dragonlance: Shadow of the Dragon Queen,Wizards of the Coast,4,Levels,levels-v2.1,experiments/production-backlog-004/production-backlog-004-qwen-levels-adv0246-v1.yml
9,1,9,ADV-0246,Temple of Paladine,Dragonlance: Shadow of the Dragon Queen,Wizards of the Coast,4,Combat Emphasis,production-base,experiments/production-backlog-004/production-backlog-004-qwen-combat-adv0246-v1.yml
10,1,10,ADV-0246,Temple of Paladine,Dragonlance: Shadow of the Dragon Queen,Wizards of the Coast,4,Structural Openness,production-base,experiments/production-backlog-004/production-backlog-004-qwen-structural-openness-adv0246-v1.yml
