case_index,pack_index,pack_case_index,adventure_id,adventure_title,source_book,publisher,page_count,dimension,profile,manifest_path
1,1,1,ADV-0122,The Curse on Humble Hill,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Levels,levels-v2.1,experiments/production-backlog-009/production-backlog-009-qwen-levels-adv0122-v1.yml
2,1,2,ADV-0122,The Curse on Humble Hill,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Combat Emphasis,production-base,experiments/production-backlog-009/production-backlog-009-qwen-combat-adv0122-v1.yml
3,1,3,ADV-0122,The Curse on Humble Hill,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Structural Openness,production-base,experiments/production-backlog-009/production-backlog-009-qwen-structural-openness-adv0122-v1.yml
4,1,4,ADV-0122,The Curse on Humble Hill,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Darkness / Horror Intensity,production-base,experiments/production-backlog-009/production-backlog-009-qwen-darkness-adv0122-v1.yml
5,1,5,ADV-0122,The Curse on Humble Hill,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Player Beginner Suitability,production-base,experiments/production-backlog-009/production-backlog-009-qwen-player-beginner-adv0122-v1.yml
6,1,6,ADV-0122,The Curse on Humble Hill,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Social Interaction Emphasis,phase6-v0.3,experiments/production-backlog-009/production-backlog-009-qwen-social-adv0122-v1.yml
7,1,7,ADV-0122,The Curse on Humble Hill,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Investigation Emphasis,phase6-v0.4,experiments/production-backlog-009/production-backlog-009-qwen-investigation-adv0122-v1.yml
8,1,8,ADV-0320,The Morkoth,Storm King's Thunder,Wizards of the Coast,4,Levels,levels-v2.1,experiments/production-backlog-009/production-backlog-009-qwen-levels-adv0320-v1.yml
9,1,9,ADV-0320,The Morkoth,Storm King's Thunder,Wizards of the Coast,4,Combat Emphasis,production-base,experiments/production-backlog-009/production-backlog-009-qwen-combat-adv0320-v1.yml
10,1,10,ADV-0320,The Morkoth,Storm King's Thunder,Wizards of the Coast,4,Structural Openness,production-base,experiments/production-backlog-009/production-backlog-009-qwen-structural-openness-adv0320-v1.yml
11,1,11,ADV-0320,The Morkoth,Storm King's Thunder,Wizards of the Coast,4,Darkness / Horror Intensity,production-base,experiments/production-backlog-009/production-backlog-009-qwen-darkness-adv0320-v1.yml
12,1,12,ADV-0320,The Morkoth,Storm King's Thunder,Wizards of the Coast,4,Player Beginner Suitability,production-base,experiments/production-backlog-009/production-backlog-009-qwen-player-beginner-adv0320-v1.yml
13,1,13,ADV-0320,The Morkoth,Storm King's Thunder,Wizards of the Coast,4,Social Interaction Emphasis,phase6-v0.3,experiments/production-backlog-009/production-backlog-009-qwen-social-adv0320-v1.yml
14,1,14,ADV-0320,The Morkoth,Storm King's Thunder,Wizards of the Coast,4,Investigation Emphasis,phase6-v0.4,experiments/production-backlog-009/production-backlog-009-qwen-investigation-adv0320-v1.yml
15,1,15,ADV-0194,Heart of Ashes,Keys from the Golden Vault,Wizards of the Coast,12,Levels,levels-v2.1,experiments/production-backlog-009/production-backlog-009-qwen-levels-adv0194-v1.yml
16,1,16,ADV-0194,Heart of Ashes,Keys from the Golden Vault,Wizards of the Coast,12,Combat Emphasis,production-base,experiments/production-backlog-009/production-backlog-009-qwen-combat-adv0194-v1.yml
17,1,17,ADV-0194,Heart of Ashes,Keys from the Golden Vault,Wizards of the Coast,12,Structural Openness,production-base,experiments/production-backlog-009/production-backlog-009-qwen-structural-openness-adv0194-v1.yml
18,1,18,ADV-0194,Heart of Ashes,Keys from the Golden Vault,Wizards of the Coast,12,Darkness / Horror Intensity,production-base,experiments/production-backlog-009/production-backlog-009-qwen-darkness-adv0194-v1.yml
19,1,19,ADV-0194,Heart of Ashes,Keys from the Golden Vault,Wizards of the Coast,12,Player Beginner Suitability,production-base,experiments/production-backlog-009/production-backlog-009-qwen-player-beginner-adv0194-v1.yml
20,1,20,ADV-0194,Heart of Ashes,Keys from the Golden Vault,Wizards of the Coast,12,Social Interaction Emphasis,phase6-v0.3,experiments/production-backlog-009/production-backlog-009-qwen-social-adv0194-v1.yml
