case_index,pack_index,pack_case_index,adventure_index,adventure_id,adventure_title,source_book,publisher,page_count,dimension,profile,model_alias,runtime_key,manifest_path
61,2,1,6,ADV-0434,Sloobludop,Out of the Abyss,Wizards of the Coast,7,# of Sessions,nos-clean-blind-v1,qwen27,base,experiments/production-backlog-019/production-backlog-019-qwen27-nos-adv0434-v1.yml
62,2,2,6,ADV-0434,Sloobludop,Out of the Abyss,Wizards of the Coast,7,Exploration Emphasis,ee-clean-reset-v0.5,gptoss,ee,experiments/production-backlog-019/production-backlog-019-gptoss-ee-adv0434-v1.yml
63,2,3,6,ADV-0434,Sloobludop,Out of the Abyss,Wizards of the Coast,7,GM Preparation Burden,gmpb-v0.6-dependency-fan-out,gemma,gmpb,experiments/production-backlog-019/production-backlog-019-gemma-gmpb-adv0434-v1.yml
64,2,4,6,ADV-0434,Sloobludop,Out of the Abyss,Wizards of the Coast,7,Combat Emphasis,production-base,qwen,base,experiments/production-backlog-019/production-backlog-019-qwen-combat-adv0434-v1.yml
65,2,5,6,ADV-0434,Sloobludop,Out of the Abyss,Wizards of the Coast,7,Social Interaction Emphasis,phase6-v0.3,qwen,base,experiments/production-backlog-019/production-backlog-019-qwen-social-adv0434-v1.yml
66,2,6,6,ADV-0434,Sloobludop,Out of the Abyss,Wizards of the Coast,7,Investigation Emphasis,phase6-v0.4,qwen,base,experiments/production-backlog-019/production-backlog-019-qwen-investigation-adv0434-v1.yml
67,2,7,6,ADV-0434,Sloobludop,Out of the Abyss,Wizards of the Coast,7,Structural Openness,production-base,qwen,base,experiments/production-backlog-019/production-backlog-019-qwen-structural-openness-adv0434-v1.yml
68,2,8,6,ADV-0434,Sloobludop,Out of the Abyss,Wizards of the Coast,7,Darkness / Horror Intensity,production-base,qwen,base,experiments/production-backlog-019/production-backlog-019-qwen-darkness-adv0434-v1.yml
69,2,9,6,ADV-0434,Sloobludop,Out of the Abyss,Wizards of the Coast,7,Player Beginner Suitability,production-base,qwen,base,experiments/production-backlog-019/production-backlog-019-qwen-player-beginner-adv0434-v1.yml
70,2,10,6,ADV-0434,Sloobludop,Out of the Abyss,Wizards of the Coast,7,GM Beginner Suitability,gmbs-clean-blind-v0.3,qwen,base,experiments/production-backlog-019/production-backlog-019-qwen-gmbs-adv0434-v1.yml
