case_index,pack_index,pack_case_index,adventure_id,adventure_title,source_book,publisher,page_count,dimension,profile,manifest_path
1,1,1,ADV-0155,The Temple of Transmutation,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,2,Levels,levels-v2.1,experiments/production-backlog-006/production-backlog-006-qwen-levels-adv0155-v1.yml
2,1,2,ADV-0155,The Temple of Transmutation,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,2,Combat Emphasis,production-base,experiments/production-backlog-006/production-backlog-006-qwen-combat-adv0155-v1.yml
3,1,3,ADV-0155,The Temple of Transmutation,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,2,Structural Openness,production-base,experiments/production-backlog-006/production-backlog-006-qwen-structural-openness-adv0155-v1.yml
4,1,4,ADV-0155,The Temple of Transmutation,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,2,Darkness / Horror Intensity,production-base,experiments/production-backlog-006/production-backlog-006-qwen-darkness-adv0155-v1.yml
5,1,5,ADV-0155,The Temple of Transmutation,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,2,Player Beginner Suitability,production-base,experiments/production-backlog-006/production-backlog-006-qwen-player-beginner-adv0155-v1.yml
6,1,6,ADV-0155,The Temple of Transmutation,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,2,Social Interaction Emphasis,phase6-v0.3,experiments/production-backlog-006/production-backlog-006-qwen-social-adv0155-v1.yml
7,1,7,ADV-0155,The Temple of Transmutation,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,2,Investigation Emphasis,phase6-v0.4,experiments/production-backlog-006/production-backlog-006-qwen-investigation-adv0155-v1.yml
8,1,8,ADV-0205,Toil and Trouble,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,6,Levels,levels-v2.1,experiments/production-backlog-006/production-backlog-006-qwen-levels-adv0205-v1.yml
9,1,9,ADV-0205,Toil and Trouble,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,6,Combat Emphasis,production-base,experiments/production-backlog-006/production-backlog-006-qwen-combat-adv0205-v1.yml
10,1,10,ADV-0205,Toil and Trouble,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,6,Structural Openness,production-base,experiments/production-backlog-006/production-backlog-006-qwen-structural-openness-adv0205-v1.yml
11,1,11,ADV-0205,Toil and Trouble,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,6,Darkness / Horror Intensity,production-base,experiments/production-backlog-006/production-backlog-006-qwen-darkness-adv0205-v1.yml
12,1,12,ADV-0205,Toil and Trouble,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,6,Player Beginner Suitability,production-base,experiments/production-backlog-006/production-backlog-006-qwen-player-beginner-adv0205-v1.yml
13,1,13,ADV-0205,Toil and Trouble,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,6,Social Interaction Emphasis,phase6-v0.3,experiments/production-backlog-006/production-backlog-006-qwen-social-adv0205-v1.yml
14,1,14,ADV-0205,Toil and Trouble,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,6,Investigation Emphasis,phase6-v0.4,experiments/production-backlog-006/production-backlog-006-qwen-investigation-adv0205-v1.yml
15,1,15,ADV-0343,Terminus Level,Waterdeep: Dungeon of the Mad Mage,Wizards of the Coast,12,Levels,levels-v2.1,experiments/production-backlog-006/production-backlog-006-qwen-levels-adv0343-v1.yml
16,1,16,ADV-0343,Terminus Level,Waterdeep: Dungeon of the Mad Mage,Wizards of the Coast,12,Combat Emphasis,production-base,experiments/production-backlog-006/production-backlog-006-qwen-combat-adv0343-v1.yml
17,1,17,ADV-0343,Terminus Level,Waterdeep: Dungeon of the Mad Mage,Wizards of the Coast,12,Structural Openness,production-base,experiments/production-backlog-006/production-backlog-006-qwen-structural-openness-adv0343-v1.yml
18,1,18,ADV-0343,Terminus Level,Waterdeep: Dungeon of the Mad Mage,Wizards of the Coast,12,Darkness / Horror Intensity,production-base,experiments/production-backlog-006/production-backlog-006-qwen-darkness-adv0343-v1.yml
19,1,19,ADV-0343,Terminus Level,Waterdeep: Dungeon of the Mad Mage,Wizards of the Coast,12,Player Beginner Suitability,production-base,experiments/production-backlog-006/production-backlog-006-qwen-player-beginner-adv0343-v1.yml
20,1,20,ADV-0343,Terminus Level,Waterdeep: Dungeon of the Mad Mage,Wizards of the Coast,12,Social Interaction Emphasis,phase6-v0.3,experiments/production-backlog-006/production-backlog-006-qwen-social-adv0343-v1.yml
21,1,21,ADV-0343,Terminus Level,Waterdeep: Dungeon of the Mad Mage,Wizards of the Coast,12,Investigation Emphasis,phase6-v0.4,experiments/production-backlog-006/production-backlog-006-qwen-investigation-adv0343-v1.yml
22,1,22,ADV-0160,Calim Crossing,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,2,Levels,levels-v2.1,experiments/production-backlog-006/production-backlog-006-qwen-levels-adv0160-v1.yml
23,1,23,ADV-0160,Calim Crossing,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,2,Combat Emphasis,production-base,experiments/production-backlog-006/production-backlog-006-qwen-combat-adv0160-v1.yml
24,1,24,ADV-0160,Calim Crossing,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,2,Structural Openness,production-base,experiments/production-backlog-006/production-backlog-006-qwen-structural-openness-adv0160-v1.yml
25,1,25,ADV-0160,Calim Crossing,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,2,Darkness / Horror Intensity,production-base,experiments/production-backlog-006/production-backlog-006-qwen-darkness-adv0160-v1.yml
26,1,26,ADV-0160,Calim Crossing,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,2,Player Beginner Suitability,production-base,experiments/production-backlog-006/production-backlog-006-qwen-player-beginner-adv0160-v1.yml
27,1,27,ADV-0160,Calim Crossing,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,2,Social Interaction Emphasis,phase6-v0.3,experiments/production-backlog-006/production-backlog-006-qwen-social-adv0160-v1.yml
28,1,28,ADV-0160,Calim Crossing,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,2,Investigation Emphasis,phase6-v0.4,experiments/production-backlog-006/production-backlog-006-qwen-investigation-adv0160-v1.yml
29,1,29,ADV-0261,Fortress Badlands,Strixhaven: A Curriculum of Chaos,Wizards of the Coast,7,Levels,levels-v2.1,experiments/production-backlog-006/production-backlog-006-qwen-levels-adv0261-v1.yml
30,1,30,ADV-0261,Fortress Badlands,Strixhaven: A Curriculum of Chaos,Wizards of the Coast,7,Combat Emphasis,production-base,experiments/production-backlog-006/production-backlog-006-qwen-combat-adv0261-v1.yml
31,1,31,ADV-0261,Fortress Badlands,Strixhaven: A Curriculum of Chaos,Wizards of the Coast,7,Structural Openness,production-base,experiments/production-backlog-006/production-backlog-006-qwen-structural-openness-adv0261-v1.yml
32,1,32,ADV-0261,Fortress Badlands,Strixhaven: A Curriculum of Chaos,Wizards of the Coast,7,Darkness / Horror Intensity,production-base,experiments/production-backlog-006/production-backlog-006-qwen-darkness-adv0261-v1.yml
33,1,33,ADV-0261,Fortress Badlands,Strixhaven: A Curriculum of Chaos,Wizards of the Coast,7,Player Beginner Suitability,production-base,experiments/production-backlog-006/production-backlog-006-qwen-player-beginner-adv0261-v1.yml
34,1,34,ADV-0261,Fortress Badlands,Strixhaven: A Curriculum of Chaos,Wizards of the Coast,7,Social Interaction Emphasis,phase6-v0.3,experiments/production-backlog-006/production-backlog-006-qwen-social-adv0261-v1.yml
35,1,35,ADV-0261,Fortress Badlands,Strixhaven: A Curriculum of Chaos,Wizards of the Coast,7,Investigation Emphasis,phase6-v0.4,experiments/production-backlog-006/production-backlog-006-qwen-investigation-adv0261-v1.yml
36,1,36,ADV-0120,A Copper for a Song,Dragon Delves,Wizards of the Coast,14,Levels,levels-v2.1,experiments/production-backlog-006/production-backlog-006-qwen-levels-adv0120-v1.yml
37,1,37,ADV-0120,A Copper for a Song,Dragon Delves,Wizards of the Coast,14,Combat Emphasis,production-base,experiments/production-backlog-006/production-backlog-006-qwen-combat-adv0120-v1.yml
38,1,38,ADV-0120,A Copper for a Song,Dragon Delves,Wizards of the Coast,14,Structural Openness,production-base,experiments/production-backlog-006/production-backlog-006-qwen-structural-openness-adv0120-v1.yml
39,1,39,ADV-0120,A Copper for a Song,Dragon Delves,Wizards of the Coast,14,Darkness / Horror Intensity,production-base,experiments/production-backlog-006/production-backlog-006-qwen-darkness-adv0120-v1.yml
40,1,40,ADV-0120,A Copper for a Song,Dragon Delves,Wizards of the Coast,14,Player Beginner Suitability,production-base,experiments/production-backlog-006/production-backlog-006-qwen-player-beginner-adv0120-v1.yml
41,1,41,ADV-0120,A Copper for a Song,Dragon Delves,Wizards of the Coast,14,Social Interaction Emphasis,phase6-v0.3,experiments/production-backlog-006/production-backlog-006-qwen-social-adv0120-v1.yml
42,1,42,ADV-0120,A Copper for a Song,Dragon Delves,Wizards of the Coast,14,Investigation Emphasis,phase6-v0.4,experiments/production-backlog-006/production-backlog-006-qwen-investigation-adv0120-v1.yml
43,1,43,ADV-0239,The Lord's Arrival,Dragonlance: Shadow of the Dragon Queen,Wizards of the Coast,9,Levels,levels-v2.1,experiments/production-backlog-006/production-backlog-006-qwen-levels-adv0239-v1.yml
44,1,44,ADV-0239,The Lord's Arrival,Dragonlance: Shadow of the Dragon Queen,Wizards of the Coast,9,Combat Emphasis,production-base,experiments/production-backlog-006/production-backlog-006-qwen-combat-adv0239-v1.yml
45,1,45,ADV-0239,The Lord's Arrival,Dragonlance: Shadow of the Dragon Queen,Wizards of the Coast,9,Structural Openness,production-base,experiments/production-backlog-006/production-backlog-006-qwen-structural-openness-adv0239-v1.yml
46,1,46,ADV-0239,The Lord's Arrival,Dragonlance: Shadow of the Dragon Queen,Wizards of the Coast,9,Darkness / Horror Intensity,production-base,experiments/production-backlog-006/production-backlog-006-qwen-darkness-adv0239-v1.yml
47,1,47,ADV-0239,The Lord's Arrival,Dragonlance: Shadow of the Dragon Queen,Wizards of the Coast,9,Player Beginner Suitability,production-base,experiments/production-backlog-006/production-backlog-006-qwen-player-beginner-adv0239-v1.yml
48,1,48,ADV-0239,The Lord's Arrival,Dragonlance: Shadow of the Dragon Queen,Wizards of the Coast,9,Social Interaction Emphasis,phase6-v0.3,experiments/production-backlog-006/production-backlog-006-qwen-social-adv0239-v1.yml
49,1,49,ADV-0239,The Lord's Arrival,Dragonlance: Shadow of the Dragon Queen,Wizards of the Coast,9,Investigation Emphasis,phase6-v0.4,experiments/production-backlog-006/production-backlog-006-qwen-investigation-adv0239-v1.yml
50,1,50,ADV-0183,Buried Dynasty,Journeys Through the Radiant Citadel,Wizards of the Coast,14,Levels,levels-v2.1,experiments/production-backlog-006/production-backlog-006-qwen-levels-adv0183-v1.yml
51,1,51,ADV-0183,Buried Dynasty,Journeys Through the Radiant Citadel,Wizards of the Coast,14,Combat Emphasis,production-base,experiments/production-backlog-006/production-backlog-006-qwen-combat-adv0183-v1.yml
52,1,52,ADV-0183,Buried Dynasty,Journeys Through the Radiant Citadel,Wizards of the Coast,14,Structural Openness,production-base,experiments/production-backlog-006/production-backlog-006-qwen-structural-openness-adv0183-v1.yml
53,1,53,ADV-0183,Buried Dynasty,Journeys Through the Radiant Citadel,Wizards of the Coast,14,Darkness / Horror Intensity,production-base,experiments/production-backlog-006/production-backlog-006-qwen-darkness-adv0183-v1.yml
54,1,54,ADV-0183,Buried Dynasty,Journeys Through the Radiant Citadel,Wizards of the Coast,14,Player Beginner Suitability,production-base,experiments/production-backlog-006/production-backlog-006-qwen-player-beginner-adv0183-v1.yml
55,1,55,ADV-0183,Buried Dynasty,Journeys Through the Radiant Citadel,Wizards of the Coast,14,Social Interaction Emphasis,phase6-v0.3,experiments/production-backlog-006/production-backlog-006-qwen-social-adv0183-v1.yml
56,1,56,ADV-0183,Buried Dynasty,Journeys Through the Radiant Citadel,Wizards of the Coast,14,Investigation Emphasis,phase6-v0.4,experiments/production-backlog-006/production-backlog-006-qwen-investigation-adv0183-v1.yml
57,1,57,ADV-0264,Redbrands' Hideout,Phandelver and Below: The Shattered Obelisk,Wizards of the Coast,10,Levels,levels-v2.1,experiments/production-backlog-006/production-backlog-006-qwen-levels-adv0264-v1.yml
58,1,58,ADV-0264,Redbrands' Hideout,Phandelver and Below: The Shattered Obelisk,Wizards of the Coast,10,Combat Emphasis,production-base,experiments/production-backlog-006/production-backlog-006-qwen-combat-adv0264-v1.yml
59,1,59,ADV-0264,Redbrands' Hideout,Phandelver and Below: The Shattered Obelisk,Wizards of the Coast,10,Structural Openness,production-base,experiments/production-backlog-006/production-backlog-006-qwen-structural-openness-adv0264-v1.yml
60,1,60,ADV-0264,Redbrands' Hideout,Phandelver and Below: The Shattered Obelisk,Wizards of the Coast,10,Darkness / Horror Intensity,production-base,experiments/production-backlog-006/production-backlog-006-qwen-darkness-adv0264-v1.yml
