case_index,pack_index,pack_case_index,adventure_index,adventure_id,adventure_title,source_book,publisher,page_count,dimension,profile,model_alias,runtime_key,manifest_path
226,5,1,21,ADV-0667,The Fouled Stream,Dungeon Master's Guide (2024),Wizards of the Coast,1,# of Sessions,nos-clean-blind-v1,qwen27,base,experiments/production-backlog-027/production-backlog-027-qwen27-nos-adv0667-v1.yml
227,5,2,21,ADV-0667,The Fouled Stream,Dungeon Master's Guide (2024),Wizards of the Coast,1,Exploration Emphasis,ee-clean-reset-v0.5,gptoss,ee,experiments/production-backlog-027/production-backlog-027-gptoss-ee-adv0667-v1.yml
228,5,3,21,ADV-0667,The Fouled Stream,Dungeon Master's Guide (2024),Wizards of the Coast,1,GM Preparation Burden,gmpb-v0.6-dependency-fan-out,gemma,gmpb,experiments/production-backlog-027/production-backlog-027-gemma-gmpb-adv0667-v1.yml
229,5,4,21,ADV-0667,The Fouled Stream,Dungeon Master's Guide (2024),Wizards of the Coast,1,Combat Emphasis,production-base,qwen,base,experiments/production-backlog-027/production-backlog-027-qwen-combat-adv0667-v1.yml
230,5,5,21,ADV-0667,The Fouled Stream,Dungeon Master's Guide (2024),Wizards of the Coast,1,Social Interaction Emphasis,phase6-v0.3,qwen,base,experiments/production-backlog-027/production-backlog-027-qwen-social-adv0667-v1.yml
231,5,6,21,ADV-0667,The Fouled Stream,Dungeon Master's Guide (2024),Wizards of the Coast,1,Investigation Emphasis,phase6-v0.4,qwen,base,experiments/production-backlog-027/production-backlog-027-qwen-investigation-adv0667-v1.yml
232,5,7,21,ADV-0667,The Fouled Stream,Dungeon Master's Guide (2024),Wizards of the Coast,1,Structural Openness,production-base,qwen,base,experiments/production-backlog-027/production-backlog-027-qwen-structural-openness-adv0667-v1.yml
233,5,8,21,ADV-0667,The Fouled Stream,Dungeon Master's Guide (2024),Wizards of the Coast,1,Darkness / Horror Intensity,production-base,qwen,base,experiments/production-backlog-027/production-backlog-027-qwen-darkness-adv0667-v1.yml
234,5,9,21,ADV-0667,The Fouled Stream,Dungeon Master's Guide (2024),Wizards of the Coast,1,Player Beginner Suitability,production-base,qwen,base,experiments/production-backlog-027/production-backlog-027-qwen-player-beginner-adv0667-v1.yml
235,5,10,21,ADV-0667,The Fouled Stream,Dungeon Master's Guide (2024),Wizards of the Coast,1,GM Beginner Suitability,gmbs-clean-blind-v0.3,qwen,base,experiments/production-backlog-027/production-backlog-027-qwen-gmbs-adv0667-v1.yml
236,5,11,21,ADV-0667,The Fouled Stream,Dungeon Master's Guide (2024),Wizards of the Coast,1,Seriousness,seriousness-reset-only,qwen,seriousness,experiments/production-backlog-027/production-backlog-027-qwen-seriousness-adv0667-v1.yml
237,5,12,22,ADV-0668,Miner Difficulties,Dungeon Master's Guide (2024),Wizards of the Coast,1,# of Sessions,nos-clean-blind-v1,qwen27,base,experiments/production-backlog-027/production-backlog-027-qwen27-nos-adv0668-v1.yml
238,5,13,22,ADV-0668,Miner Difficulties,Dungeon Master's Guide (2024),Wizards of the Coast,1,Exploration Emphasis,ee-clean-reset-v0.5,gptoss,ee,experiments/production-backlog-027/production-backlog-027-gptoss-ee-adv0668-v1.yml
239,5,14,22,ADV-0668,Miner Difficulties,Dungeon Master's Guide (2024),Wizards of the Coast,1,GM Preparation Burden,gmpb-v0.6-dependency-fan-out,gemma,gmpb,experiments/production-backlog-027/production-backlog-027-gemma-gmpb-adv0668-v1.yml
240,5,15,22,ADV-0668,Miner Difficulties,Dungeon Master's Guide (2024),Wizards of the Coast,1,Combat Emphasis,production-base,qwen,base,experiments/production-backlog-027/production-backlog-027-qwen-combat-adv0668-v1.yml
241,5,16,22,ADV-0668,Miner Difficulties,Dungeon Master's Guide (2024),Wizards of the Coast,1,Social Interaction Emphasis,phase6-v0.3,qwen,base,experiments/production-backlog-027/production-backlog-027-qwen-social-adv0668-v1.yml
242,5,17,22,ADV-0668,Miner Difficulties,Dungeon Master's Guide (2024),Wizards of the Coast,1,Investigation Emphasis,phase6-v0.4,qwen,base,experiments/production-backlog-027/production-backlog-027-qwen-investigation-adv0668-v1.yml
243,5,18,22,ADV-0668,Miner Difficulties,Dungeon Master's Guide (2024),Wizards of the Coast,1,Structural Openness,production-base,qwen,base,experiments/production-backlog-027/production-backlog-027-qwen-structural-openness-adv0668-v1.yml
244,5,19,22,ADV-0668,Miner Difficulties,Dungeon Master's Guide (2024),Wizards of the Coast,1,Darkness / Horror Intensity,production-base,qwen,base,experiments/production-backlog-027/production-backlog-027-qwen-darkness-adv0668-v1.yml
245,5,20,22,ADV-0668,Miner Difficulties,Dungeon Master's Guide (2024),Wizards of the Coast,1,Player Beginner Suitability,production-base,qwen,base,experiments/production-backlog-027/production-backlog-027-qwen-player-beginner-adv0668-v1.yml
246,5,21,22,ADV-0668,Miner Difficulties,Dungeon Master's Guide (2024),Wizards of the Coast,1,GM Beginner Suitability,gmbs-clean-blind-v0.3,qwen,base,experiments/production-backlog-027/production-backlog-027-qwen-gmbs-adv0668-v1.yml
247,5,22,22,ADV-0668,Miner Difficulties,Dungeon Master's Guide (2024),Wizards of the Coast,1,Seriousness,seriousness-reset-only,qwen,seriousness,experiments/production-backlog-027/production-backlog-027-qwen-seriousness-adv0668-v1.yml
248,5,23,23,ADV-0669,The Winged God,Dungeon Master's Guide (2024),Wizards of the Coast,1,# of Sessions,nos-clean-blind-v1,qwen27,base,experiments/production-backlog-027/production-backlog-027-qwen27-nos-adv0669-v1.yml
249,5,24,23,ADV-0669,The Winged God,Dungeon Master's Guide (2024),Wizards of the Coast,1,Exploration Emphasis,ee-clean-reset-v0.5,gptoss,ee,experiments/production-backlog-027/production-backlog-027-gptoss-ee-adv0669-v1.yml
250,5,25,23,ADV-0669,The Winged God,Dungeon Master's Guide (2024),Wizards of the Coast,1,GM Preparation Burden,gmpb-v0.6-dependency-fan-out,gemma,gmpb,experiments/production-backlog-027/production-backlog-027-gemma-gmpb-adv0669-v1.yml
251,5,26,23,ADV-0669,The Winged God,Dungeon Master's Guide (2024),Wizards of the Coast,1,Combat Emphasis,production-base,qwen,base,experiments/production-backlog-027/production-backlog-027-qwen-combat-adv0669-v1.yml
252,5,27,23,ADV-0669,The Winged God,Dungeon Master's Guide (2024),Wizards of the Coast,1,Social Interaction Emphasis,phase6-v0.3,qwen,base,experiments/production-backlog-027/production-backlog-027-qwen-social-adv0669-v1.yml
253,5,28,23,ADV-0669,The Winged God,Dungeon Master's Guide (2024),Wizards of the Coast,1,Investigation Emphasis,phase6-v0.4,qwen,base,experiments/production-backlog-027/production-backlog-027-qwen-investigation-adv0669-v1.yml
254,5,29,23,ADV-0669,The Winged God,Dungeon Master's Guide (2024),Wizards of the Coast,1,Structural Openness,production-base,qwen,base,experiments/production-backlog-027/production-backlog-027-qwen-structural-openness-adv0669-v1.yml
255,5,30,23,ADV-0669,The Winged God,Dungeon Master's Guide (2024),Wizards of the Coast,1,Darkness / Horror Intensity,production-base,qwen,base,experiments/production-backlog-027/production-backlog-027-qwen-darkness-adv0669-v1.yml
256,5,31,23,ADV-0669,The Winged God,Dungeon Master's Guide (2024),Wizards of the Coast,1,Player Beginner Suitability,production-base,qwen,base,experiments/production-backlog-027/production-backlog-027-qwen-player-beginner-adv0669-v1.yml
257,5,32,23,ADV-0669,The Winged God,Dungeon Master's Guide (2024),Wizards of the Coast,1,GM Beginner Suitability,gmbs-clean-blind-v0.3,qwen,base,experiments/production-backlog-027/production-backlog-027-qwen-gmbs-adv0669-v1.yml
258,5,33,23,ADV-0669,The Winged God,Dungeon Master's Guide (2024),Wizards of the Coast,1,Seriousness,seriousness-reset-only,qwen,seriousness,experiments/production-backlog-027/production-backlog-027-qwen-seriousness-adv0669-v1.yml
259,5,34,24,ADV-0670,Horns of the Beast,Dungeon Master's Guide (2024),Wizards of the Coast,1,# of Sessions,nos-clean-blind-v1,qwen27,base,experiments/production-backlog-027/production-backlog-027-qwen27-nos-adv0670-v1.yml
260,5,35,24,ADV-0670,Horns of the Beast,Dungeon Master's Guide (2024),Wizards of the Coast,1,Exploration Emphasis,ee-clean-reset-v0.5,gptoss,ee,experiments/production-backlog-027/production-backlog-027-gptoss-ee-adv0670-v1.yml
261,5,36,24,ADV-0670,Horns of the Beast,Dungeon Master's Guide (2024),Wizards of the Coast,1,GM Preparation Burden,gmpb-v0.6-dependency-fan-out,gemma,gmpb,experiments/production-backlog-027/production-backlog-027-gemma-gmpb-adv0670-v1.yml
262,5,37,24,ADV-0670,Horns of the Beast,Dungeon Master's Guide (2024),Wizards of the Coast,1,Combat Emphasis,production-base,qwen,base,experiments/production-backlog-027/production-backlog-027-qwen-combat-adv0670-v1.yml
263,5,38,24,ADV-0670,Horns of the Beast,Dungeon Master's Guide (2024),Wizards of the Coast,1,Social Interaction Emphasis,phase6-v0.3,qwen,base,experiments/production-backlog-027/production-backlog-027-qwen-social-adv0670-v1.yml
264,5,39,24,ADV-0670,Horns of the Beast,Dungeon Master's Guide (2024),Wizards of the Coast,1,Investigation Emphasis,phase6-v0.4,qwen,base,experiments/production-backlog-027/production-backlog-027-qwen-investigation-adv0670-v1.yml
265,5,40,24,ADV-0670,Horns of the Beast,Dungeon Master's Guide (2024),Wizards of the Coast,1,Structural Openness,production-base,qwen,base,experiments/production-backlog-027/production-backlog-027-qwen-structural-openness-adv0670-v1.yml
266,5,41,24,ADV-0670,Horns of the Beast,Dungeon Master's Guide (2024),Wizards of the Coast,1,Darkness / Horror Intensity,production-base,qwen,base,experiments/production-backlog-027/production-backlog-027-qwen-darkness-adv0670-v1.yml
267,5,42,24,ADV-0670,Horns of the Beast,Dungeon Master's Guide (2024),Wizards of the Coast,1,Player Beginner Suitability,production-base,qwen,base,experiments/production-backlog-027/production-backlog-027-qwen-player-beginner-adv0670-v1.yml
268,5,43,24,ADV-0670,Horns of the Beast,Dungeon Master's Guide (2024),Wizards of the Coast,1,GM Beginner Suitability,gmbs-clean-blind-v0.3,qwen,base,experiments/production-backlog-027/production-backlog-027-qwen-gmbs-adv0670-v1.yml
269,5,44,24,ADV-0670,Horns of the Beast,Dungeon Master's Guide (2024),Wizards of the Coast,1,Seriousness,seriousness-reset-only,qwen,seriousness,experiments/production-backlog-027/production-backlog-027-qwen-seriousness-adv0670-v1.yml
270,5,45,25,ADV-0671,Boreal Ball,Dungeon Master's Guide (2024),Wizards of the Coast,1,# of Sessions,nos-clean-blind-v1,qwen27,base,experiments/production-backlog-027/production-backlog-027-qwen27-nos-adv0671-v1.yml
271,5,46,25,ADV-0671,Boreal Ball,Dungeon Master's Guide (2024),Wizards of the Coast,1,Exploration Emphasis,ee-clean-reset-v0.5,gptoss,ee,experiments/production-backlog-027/production-backlog-027-gptoss-ee-adv0671-v1.yml
272,5,47,25,ADV-0671,Boreal Ball,Dungeon Master's Guide (2024),Wizards of the Coast,1,GM Preparation Burden,gmpb-v0.6-dependency-fan-out,gemma,gmpb,experiments/production-backlog-027/production-backlog-027-gemma-gmpb-adv0671-v1.yml
273,5,48,25,ADV-0671,Boreal Ball,Dungeon Master's Guide (2024),Wizards of the Coast,1,Combat Emphasis,production-base,qwen,base,experiments/production-backlog-027/production-backlog-027-qwen-combat-adv0671-v1.yml
274,5,49,25,ADV-0671,Boreal Ball,Dungeon Master's Guide (2024),Wizards of the Coast,1,Social Interaction Emphasis,phase6-v0.3,qwen,base,experiments/production-backlog-027/production-backlog-027-qwen-social-adv0671-v1.yml
275,5,50,25,ADV-0671,Boreal Ball,Dungeon Master's Guide (2024),Wizards of the Coast,1,Investigation Emphasis,phase6-v0.4,qwen,base,experiments/production-backlog-027/production-backlog-027-qwen-investigation-adv0671-v1.yml
276,5,51,25,ADV-0671,Boreal Ball,Dungeon Master's Guide (2024),Wizards of the Coast,1,Structural Openness,production-base,qwen,base,experiments/production-backlog-027/production-backlog-027-qwen-structural-openness-adv0671-v1.yml
277,5,52,25,ADV-0671,Boreal Ball,Dungeon Master's Guide (2024),Wizards of the Coast,1,Darkness / Horror Intensity,production-base,qwen,base,experiments/production-backlog-027/production-backlog-027-qwen-darkness-adv0671-v1.yml
278,5,53,25,ADV-0671,Boreal Ball,Dungeon Master's Guide (2024),Wizards of the Coast,1,Player Beginner Suitability,production-base,qwen,base,experiments/production-backlog-027/production-backlog-027-qwen-player-beginner-adv0671-v1.yml
279,5,54,25,ADV-0671,Boreal Ball,Dungeon Master's Guide (2024),Wizards of the Coast,1,GM Beginner Suitability,gmbs-clean-blind-v0.3,qwen,base,experiments/production-backlog-027/production-backlog-027-qwen-gmbs-adv0671-v1.yml
280,5,55,25,ADV-0671,Boreal Ball,Dungeon Master's Guide (2024),Wizards of the Coast,1,Seriousness,seriousness-reset-only,qwen,seriousness,experiments/production-backlog-027/production-backlog-027-qwen-seriousness-adv0671-v1.yml
