case_index,pack_index,pack_case_index,adventure_id,adventure_title,source_book,publisher,page_count,dimension,profile,manifest_path
20,1,20,ADV-0177,Gold for Fools and Princes,Journeys Through the Radiant Citadel,Wizards of the Coast,11,Social Interaction Emphasis,phase6-v0.3,experiments/production-backlog-002/production-backlog-002-qwen-social-adv0177-v1.yml
21,1,21,ADV-0177,Gold for Fools and Princes,Journeys Through the Radiant Citadel,Wizards of the Coast,11,Investigation Emphasis,phase6-v0.4,experiments/production-backlog-002/production-backlog-002-qwen-investigation-adv0177-v1.yml
22,1,22,ADV-0251,Campus Kerfuffle,Strixhaven: A Curriculum of Chaos,Wizards of the Coast,36,Levels,levels-v2.1,experiments/production-backlog-002/production-backlog-002-qwen-levels-adv0251-v1.yml
23,1,23,ADV-0251,Campus Kerfuffle,Strixhaven: A Curriculum of Chaos,Wizards of the Coast,36,Combat Emphasis,production-base,experiments/production-backlog-002/production-backlog-002-qwen-combat-adv0251-v1.yml
24,1,24,ADV-0251,Campus Kerfuffle,Strixhaven: A Curriculum of Chaos,Wizards of the Coast,36,Structural Openness,production-base,experiments/production-backlog-002/production-backlog-002-qwen-structural-openness-adv0251-v1.yml
25,1,25,ADV-0251,Campus Kerfuffle,Strixhaven: A Curriculum of Chaos,Wizards of the Coast,36,Darkness / Horror Intensity,production-base,experiments/production-backlog-002/production-backlog-002-qwen-darkness-adv0251-v1.yml
26,1,26,ADV-0251,Campus Kerfuffle,Strixhaven: A Curriculum of Chaos,Wizards of the Coast,36,Player Beginner Suitability,production-base,experiments/production-backlog-002/production-backlog-002-qwen-player-beginner-adv0251-v1.yml
27,1,27,ADV-0251,Campus Kerfuffle,Strixhaven: A Curriculum of Chaos,Wizards of the Coast,36,Social Interaction Emphasis,phase6-v0.3,experiments/production-backlog-002/production-backlog-002-qwen-social-adv0251-v1.yml
28,1,28,ADV-0251,Campus Kerfuffle,Strixhaven: A Curriculum of Chaos,Wizards of the Coast,36,Investigation Emphasis,phase6-v0.4,experiments/production-backlog-002/production-backlog-002-qwen-investigation-adv0251-v1.yml
29,1,29,ADV-0199,Nature Spirits,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,2,Levels,levels-v2.1,experiments/production-backlog-002/production-backlog-002-qwen-levels-adv0199-v1.yml
30,1,30,ADV-0199,Nature Spirits,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,2,Combat Emphasis,production-base,experiments/production-backlog-002/production-backlog-002-qwen-combat-adv0199-v1.yml
31,1,31,ADV-0199,Nature Spirits,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,2,Structural Openness,production-base,experiments/production-backlog-002/production-backlog-002-qwen-structural-openness-adv0199-v1.yml
32,1,32,ADV-0199,Nature Spirits,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,2,Darkness / Horror Intensity,production-base,experiments/production-backlog-002/production-backlog-002-qwen-darkness-adv0199-v1.yml
33,1,33,ADV-0199,Nature Spirits,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,2,Player Beginner Suitability,production-base,experiments/production-backlog-002/production-backlog-002-qwen-player-beginner-adv0199-v1.yml
34,1,34,ADV-0199,Nature Spirits,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,2,Social Interaction Emphasis,phase6-v0.3,experiments/production-backlog-002/production-backlog-002-qwen-social-adv0199-v1.yml
35,1,35,ADV-0199,Nature Spirits,Icewind Dale: Rime of the Frostmaiden,Wizards of the Coast,2,Investigation Emphasis,phase6-v0.4,experiments/production-backlog-002/production-backlog-002-qwen-investigation-adv0199-v1.yml
36,1,36,ADV-0274,Feeder Trenches,Phandelver and Below: The Shattered Obelisk,Wizards of the Coast,3,Levels,levels-v2.1,experiments/production-backlog-002/production-backlog-002-qwen-levels-adv0274-v1.yml
37,1,37,ADV-0274,Feeder Trenches,Phandelver and Below: The Shattered Obelisk,Wizards of the Coast,3,Combat Emphasis,production-base,experiments/production-backlog-002/production-backlog-002-qwen-combat-adv0274-v1.yml
38,1,38,ADV-0274,Feeder Trenches,Phandelver and Below: The Shattered Obelisk,Wizards of the Coast,3,Structural Openness,production-base,experiments/production-backlog-002/production-backlog-002-qwen-structural-openness-adv0274-v1.yml
39,1,39,ADV-0274,Feeder Trenches,Phandelver and Below: The Shattered Obelisk,Wizards of the Coast,3,Darkness / Horror Intensity,production-base,experiments/production-backlog-002/production-backlog-002-qwen-darkness-adv0274-v1.yml
40,1,40,ADV-0274,Feeder Trenches,Phandelver and Below: The Shattered Obelisk,Wizards of the Coast,3,Player Beginner Suitability,production-base,experiments/production-backlog-002/production-backlog-002-qwen-player-beginner-adv0274-v1.yml
41,1,41,ADV-0274,Feeder Trenches,Phandelver and Below: The Shattered Obelisk,Wizards of the Coast,3,Social Interaction Emphasis,phase6-v0.3,experiments/production-backlog-002/production-backlog-002-qwen-social-adv0274-v1.yml
42,1,42,ADV-0274,Feeder Trenches,Phandelver and Below: The Shattered Obelisk,Wizards of the Coast,3,Investigation Emphasis,phase6-v0.4,experiments/production-backlog-002/production-backlog-002-qwen-investigation-adv0274-v1.yml
43,1,43,ADV-0271,Crypt of the Talhund,Phandelver and Below: The Shattered Obelisk,Wizards of the Coast,11,Levels,levels-v2.1,experiments/production-backlog-002/production-backlog-002-qwen-levels-adv0271-v1.yml
44,1,44,ADV-0271,Crypt of the Talhund,Phandelver and Below: The Shattered Obelisk,Wizards of the Coast,11,Combat Emphasis,production-base,experiments/production-backlog-002/production-backlog-002-qwen-combat-adv0271-v1.yml
45,1,45,ADV-0271,Crypt of the Talhund,Phandelver and Below: The Shattered Obelisk,Wizards of the Coast,11,Structural Openness,production-base,experiments/production-backlog-002/production-backlog-002-qwen-structural-openness-adv0271-v1.yml
46,1,46,ADV-0271,Crypt of the Talhund,Phandelver and Below: The Shattered Obelisk,Wizards of the Coast,11,Darkness / Horror Intensity,production-base,experiments/production-backlog-002/production-backlog-002-qwen-darkness-adv0271-v1.yml
47,1,47,ADV-0271,Crypt of the Talhund,Phandelver and Below: The Shattered Obelisk,Wizards of the Coast,11,Player Beginner Suitability,production-base,experiments/production-backlog-002/production-backlog-002-qwen-player-beginner-adv0271-v1.yml
48,1,48,ADV-0271,Crypt of the Talhund,Phandelver and Below: The Shattered Obelisk,Wizards of the Coast,11,Social Interaction Emphasis,phase6-v0.3,experiments/production-backlog-002/production-backlog-002-qwen-social-adv0271-v1.yml
49,1,49,ADV-0271,Crypt of the Talhund,Phandelver and Below: The Shattered Obelisk,Wizards of the Coast,11,Investigation Emphasis,phase6-v0.4,experiments/production-backlog-002/production-backlog-002-qwen-investigation-adv0271-v1.yml
50,1,50,ADV-0064,The Sunken Temple of Sirenholm,The Prophecy of Nine Omens Trilogy,Midnight Tower,36,Levels,levels-v2.1,experiments/production-backlog-002/production-backlog-002-qwen-levels-adv0064-v1.yml
51,1,51,ADV-0064,The Sunken Temple of Sirenholm,The Prophecy of Nine Omens Trilogy,Midnight Tower,36,Combat Emphasis,production-base,experiments/production-backlog-002/production-backlog-002-qwen-combat-adv0064-v1.yml
52,1,52,ADV-0064,The Sunken Temple of Sirenholm,The Prophecy of Nine Omens Trilogy,Midnight Tower,36,Structural Openness,production-base,experiments/production-backlog-002/production-backlog-002-qwen-structural-openness-adv0064-v1.yml
53,1,53,ADV-0064,The Sunken Temple of Sirenholm,The Prophecy of Nine Omens Trilogy,Midnight Tower,36,Darkness / Horror Intensity,production-base,experiments/production-backlog-002/production-backlog-002-qwen-darkness-adv0064-v1.yml
54,1,54,ADV-0064,The Sunken Temple of Sirenholm,The Prophecy of Nine Omens Trilogy,Midnight Tower,36,Player Beginner Suitability,production-base,experiments/production-backlog-002/production-backlog-002-qwen-player-beginner-adv0064-v1.yml
55,1,55,ADV-0064,The Sunken Temple of Sirenholm,The Prophecy of Nine Omens Trilogy,Midnight Tower,36,Social Interaction Emphasis,phase6-v0.3,experiments/production-backlog-002/production-backlog-002-qwen-social-adv0064-v1.yml
56,1,56,ADV-0064,The Sunken Temple of Sirenholm,The Prophecy of Nine Omens Trilogy,Midnight Tower,36,Investigation Emphasis,phase6-v0.4,experiments/production-backlog-002/production-backlog-002-qwen-investigation-adv0064-v1.yml
57,1,57,ADV-0311,Quest for the Giant Relics,Storm King's Thunder,Wizards of the Coast,2,Levels,levels-v2.1,experiments/production-backlog-002/production-backlog-002-qwen-levels-adv0311-v1.yml
58,1,58,ADV-0311,Quest for the Giant Relics,Storm King's Thunder,Wizards of the Coast,2,Combat Emphasis,production-base,experiments/production-backlog-002/production-backlog-002-qwen-combat-adv0311-v1.yml
59,1,59,ADV-0311,Quest for the Giant Relics,Storm King's Thunder,Wizards of the Coast,2,Structural Openness,production-base,experiments/production-backlog-002/production-backlog-002-qwen-structural-openness-adv0311-v1.yml
60,1,60,ADV-0311,Quest for the Giant Relics,Storm King's Thunder,Wizards of the Coast,2,Darkness / Horror Intensity,production-base,experiments/production-backlog-002/production-backlog-002-qwen-darkness-adv0311-v1.yml
61,1,61,ADV-0311,Quest for the Giant Relics,Storm King's Thunder,Wizards of the Coast,2,Player Beginner Suitability,production-base,experiments/production-backlog-002/production-backlog-002-qwen-player-beginner-adv0311-v1.yml
62,1,62,ADV-0311,Quest for the Giant Relics,Storm King's Thunder,Wizards of the Coast,2,Social Interaction Emphasis,phase6-v0.3,experiments/production-backlog-002/production-backlog-002-qwen-social-adv0311-v1.yml
63,1,63,ADV-0311,Quest for the Giant Relics,Storm King's Thunder,Wizards of the Coast,2,Investigation Emphasis,phase6-v0.4,experiments/production-backlog-002/production-backlog-002-qwen-investigation-adv0311-v1.yml
64,1,64,ADV-0070,Old Bonegrinder,Curse of Strahd,Wizards of the Coast,4,Levels,levels-v2.1,experiments/production-backlog-002/production-backlog-002-qwen-levels-adv0070-v1.yml
65,1,65,ADV-0070,Old Bonegrinder,Curse of Strahd,Wizards of the Coast,4,Combat Emphasis,production-base,experiments/production-backlog-002/production-backlog-002-qwen-combat-adv0070-v1.yml
66,1,66,ADV-0070,Old Bonegrinder,Curse of Strahd,Wizards of the Coast,4,Structural Openness,production-base,experiments/production-backlog-002/production-backlog-002-qwen-structural-openness-adv0070-v1.yml
67,1,67,ADV-0070,Old Bonegrinder,Curse of Strahd,Wizards of the Coast,4,Darkness / Horror Intensity,production-base,experiments/production-backlog-002/production-backlog-002-qwen-darkness-adv0070-v1.yml
68,1,68,ADV-0070,Old Bonegrinder,Curse of Strahd,Wizards of the Coast,4,Player Beginner Suitability,production-base,experiments/production-backlog-002/production-backlog-002-qwen-player-beginner-adv0070-v1.yml
69,1,69,ADV-0070,Old Bonegrinder,Curse of Strahd,Wizards of the Coast,4,Social Interaction Emphasis,phase6-v0.3,experiments/production-backlog-002/production-backlog-002-qwen-social-adv0070-v1.yml
70,1,70,ADV-0070,Old Bonegrinder,Curse of Strahd,Wizards of the Coast,4,Investigation Emphasis,phase6-v0.4,experiments/production-backlog-002/production-backlog-002-qwen-investigation-adv0070-v1.yml
71,2,1,ADV-0114,The Will of Orcus,Dragon Delves,Wizards of the Coast,12,Levels,levels-v2.1,experiments/production-backlog-002/production-backlog-002-qwen-levels-adv0114-v1.yml
72,2,2,ADV-0114,The Will of Orcus,Dragon Delves,Wizards of the Coast,12,Combat Emphasis,production-base,experiments/production-backlog-002/production-backlog-002-qwen-combat-adv0114-v1.yml
73,2,3,ADV-0114,The Will of Orcus,Dragon Delves,Wizards of the Coast,12,Structural Openness,production-base,experiments/production-backlog-002/production-backlog-002-qwen-structural-openness-adv0114-v1.yml
74,2,4,ADV-0114,The Will of Orcus,Dragon Delves,Wizards of the Coast,12,Darkness / Horror Intensity,production-base,experiments/production-backlog-002/production-backlog-002-qwen-darkness-adv0114-v1.yml
75,2,5,ADV-0114,The Will of Orcus,Dragon Delves,Wizards of the Coast,12,Player Beginner Suitability,production-base,experiments/production-backlog-002/production-backlog-002-qwen-player-beginner-adv0114-v1.yml
76,2,6,ADV-0114,The Will of Orcus,Dragon Delves,Wizards of the Coast,12,Social Interaction Emphasis,phase6-v0.3,experiments/production-backlog-002/production-backlog-002-qwen-social-adv0114-v1.yml
77,2,7,ADV-0114,The Will of Orcus,Dragon Delves,Wizards of the Coast,12,Investigation Emphasis,phase6-v0.4,experiments/production-backlog-002/production-backlog-002-qwen-investigation-adv0114-v1.yml
78,2,8,ADV-0286,Palace of Heart's Desire,The Wild Beyond the Witchlight,Wizards of the Coast,37,Levels,levels-v2.1,experiments/production-backlog-002/production-backlog-002-qwen-levels-adv0286-v1.yml
79,2,9,ADV-0286,Palace of Heart's Desire,The Wild Beyond the Witchlight,Wizards of the Coast,37,Combat Emphasis,production-base,experiments/production-backlog-002/production-backlog-002-qwen-combat-adv0286-v1.yml
80,2,10,ADV-0286,Palace of Heart's Desire,The Wild Beyond the Witchlight,Wizards of the Coast,37,Structural Openness,production-base,experiments/production-backlog-002/production-backlog-002-qwen-structural-openness-adv0286-v1.yml
81,2,11,ADV-0286,Palace of Heart's Desire,The Wild Beyond the Witchlight,Wizards of the Coast,37,Darkness / Horror Intensity,production-base,experiments/production-backlog-002/production-backlog-002-qwen-darkness-adv0286-v1.yml
82,2,12,ADV-0286,Palace of Heart's Desire,The Wild Beyond the Witchlight,Wizards of the Coast,37,Player Beginner Suitability,production-base,experiments/production-backlog-002/production-backlog-002-qwen-player-beginner-adv0286-v1.yml
83,2,13,ADV-0286,Palace of Heart's Desire,The Wild Beyond the Witchlight,Wizards of the Coast,37,Social Interaction Emphasis,phase6-v0.3,experiments/production-backlog-002/production-backlog-002-qwen-social-adv0286-v1.yml
84,2,14,ADV-0286,Palace of Heart's Desire,The Wild Beyond the Witchlight,Wizards of the Coast,37,Investigation Emphasis,phase6-v0.4,experiments/production-backlog-002/production-backlog-002-qwen-investigation-adv0286-v1.yml
85,2,15,ADV-0283,Fey Beacons,The Wild Beyond the Witchlight,Wizards of the Coast,2,Levels,levels-v2.1,experiments/production-backlog-002/production-backlog-002-qwen-levels-adv0283-v1.yml
86,2,16,ADV-0283,Fey Beacons,The Wild Beyond the Witchlight,Wizards of the Coast,2,Combat Emphasis,production-base,experiments/production-backlog-002/production-backlog-002-qwen-combat-adv0283-v1.yml
87,2,17,ADV-0283,Fey Beacons,The Wild Beyond the Witchlight,Wizards of the Coast,2,Structural Openness,production-base,experiments/production-backlog-002/production-backlog-002-qwen-structural-openness-adv0283-v1.yml
88,2,18,ADV-0283,Fey Beacons,The Wild Beyond the Witchlight,Wizards of the Coast,2,Darkness / Horror Intensity,production-base,experiments/production-backlog-002/production-backlog-002-qwen-darkness-adv0283-v1.yml
89,2,19,ADV-0283,Fey Beacons,The Wild Beyond the Witchlight,Wizards of the Coast,2,Player Beginner Suitability,production-base,experiments/production-backlog-002/production-backlog-002-qwen-player-beginner-adv0283-v1.yml
90,2,20,ADV-0283,Fey Beacons,The Wild Beyond the Witchlight,Wizards of the Coast,2,Social Interaction Emphasis,phase6-v0.3,experiments/production-backlog-002/production-backlog-002-qwen-social-adv0283-v1.yml
91,2,21,ADV-0283,Fey Beacons,The Wild Beyond the Witchlight,Wizards of the Coast,2,Investigation Emphasis,phase6-v0.4,experiments/production-backlog-002/production-backlog-002-qwen-investigation-adv0283-v1.yml
92,2,22,ADV-0240,Blue Phoenix Shrine,Dragonlance: Shadow of the Dragon Queen,Wizards of the Coast,4,Levels,levels-v2.1,experiments/production-backlog-002/production-backlog-002-qwen-levels-adv0240-v1.yml
93,2,23,ADV-0240,Blue Phoenix Shrine,Dragonlance: Shadow of the Dragon Queen,Wizards of the Coast,4,Combat Emphasis,production-base,experiments/production-backlog-002/production-backlog-002-qwen-combat-adv0240-v1.yml
94,2,24,ADV-0240,Blue Phoenix Shrine,Dragonlance: Shadow of the Dragon Queen,Wizards of the Coast,4,Structural Openness,production-base,experiments/production-backlog-002/production-backlog-002-qwen-structural-openness-adv0240-v1.yml
95,2,25,ADV-0240,Blue Phoenix Shrine,Dragonlance: Shadow of the Dragon Queen,Wizards of the Coast,4,Darkness / Horror Intensity,production-base,experiments/production-backlog-002/production-backlog-002-qwen-darkness-adv0240-v1.yml
96,2,26,ADV-0240,Blue Phoenix Shrine,Dragonlance: Shadow of the Dragon Queen,Wizards of the Coast,4,Player Beginner Suitability,production-base,experiments/production-backlog-002/production-backlog-002-qwen-player-beginner-adv0240-v1.yml
97,2,27,ADV-0240,Blue Phoenix Shrine,Dragonlance: Shadow of the Dragon Queen,Wizards of the Coast,4,Social Interaction Emphasis,phase6-v0.3,experiments/production-backlog-002/production-backlog-002-qwen-social-adv0240-v1.yml
98,2,28,ADV-0240,Blue Phoenix Shrine,Dragonlance: Shadow of the Dragon Queen,Wizards of the Coast,4,Investigation Emphasis,phase6-v0.4,experiments/production-backlog-002/production-backlog-002-qwen-investigation-adv0240-v1.yml
99,2,29,ADV-0314,Berg of the Frost Giants,Storm King's Thunder,Wizards of the Coast,12,Levels,levels-v2.1,experiments/production-backlog-002/production-backlog-002-qwen-levels-adv0314-v1.yml
100,2,30,ADV-0314,Berg of the Frost Giants,Storm King's Thunder,Wizards of the Coast,12,Combat Emphasis,production-base,experiments/production-backlog-002/production-backlog-002-qwen-combat-adv0314-v1.yml
101,2,31,ADV-0314,Berg of the Frost Giants,Storm King's Thunder,Wizards of the Coast,12,Structural Openness,production-base,experiments/production-backlog-002/production-backlog-002-qwen-structural-openness-adv0314-v1.yml
102,2,32,ADV-0314,Berg of the Frost Giants,Storm King's Thunder,Wizards of the Coast,12,Darkness / Horror Intensity,production-base,experiments/production-backlog-002/production-backlog-002-qwen-darkness-adv0314-v1.yml
103,2,33,ADV-0314,Berg of the Frost Giants,Storm King's Thunder,Wizards of the Coast,12,Player Beginner Suitability,production-base,experiments/production-backlog-002/production-backlog-002-qwen-player-beginner-adv0314-v1.yml
104,2,34,ADV-0314,Berg of the Frost Giants,Storm King's Thunder,Wizards of the Coast,12,Social Interaction Emphasis,phase6-v0.3,experiments/production-backlog-002/production-backlog-002-qwen-social-adv0314-v1.yml
105,2,35,ADV-0314,Berg of the Frost Giants,Storm King's Thunder,Wizards of the Coast,12,Investigation Emphasis,phase6-v0.4,experiments/production-backlog-002/production-backlog-002-qwen-investigation-adv0314-v1.yml
106,2,36,ADV-0054,Deeper into the Woods,Hunter's Full Moon Trilogy,Midnight Tower,38,Levels,levels-v2.1,experiments/production-backlog-002/production-backlog-002-qwen-levels-adv0054-v1.yml
107,2,37,ADV-0054,Deeper into the Woods,Hunter's Full Moon Trilogy,Midnight Tower,38,Combat Emphasis,production-base,experiments/production-backlog-002/production-backlog-002-qwen-combat-adv0054-v1.yml
108,2,38,ADV-0054,Deeper into the Woods,Hunter's Full Moon Trilogy,Midnight Tower,38,Structural Openness,production-base,experiments/production-backlog-002/production-backlog-002-qwen-structural-openness-adv0054-v1.yml
109,2,39,ADV-0054,Deeper into the Woods,Hunter's Full Moon Trilogy,Midnight Tower,38,Darkness / Horror Intensity,production-base,experiments/production-backlog-002/production-backlog-002-qwen-darkness-adv0054-v1.yml
110,2,40,ADV-0054,Deeper into the Woods,Hunter's Full Moon Trilogy,Midnight Tower,38,Player Beginner Suitability,production-base,experiments/production-backlog-002/production-backlog-002-qwen-player-beginner-adv0054-v1.yml
111,2,41,ADV-0054,Deeper into the Woods,Hunter's Full Moon Trilogy,Midnight Tower,38,Social Interaction Emphasis,phase6-v0.3,experiments/production-backlog-002/production-backlog-002-qwen-social-adv0054-v1.yml
112,2,42,ADV-0054,Deeper into the Woods,Hunter's Full Moon Trilogy,Midnight Tower,38,Investigation Emphasis,phase6-v0.4,experiments/production-backlog-002/production-backlog-002-qwen-investigation-adv0054-v1.yml
113,2,43,ADV-0127,The Tenebrous Stone,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Levels,levels-v2.1,experiments/production-backlog-002/production-backlog-002-qwen-levels-adv0127-v1.yml
114,2,44,ADV-0127,The Tenebrous Stone,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Combat Emphasis,production-base,experiments/production-backlog-002/production-backlog-002-qwen-combat-adv0127-v1.yml
115,2,45,ADV-0127,The Tenebrous Stone,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Structural Openness,production-base,experiments/production-backlog-002/production-backlog-002-qwen-structural-openness-adv0127-v1.yml
116,2,46,ADV-0127,The Tenebrous Stone,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Darkness / Horror Intensity,production-base,experiments/production-backlog-002/production-backlog-002-qwen-darkness-adv0127-v1.yml
117,2,47,ADV-0127,The Tenebrous Stone,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Player Beginner Suitability,production-base,experiments/production-backlog-002/production-backlog-002-qwen-player-beginner-adv0127-v1.yml
118,2,48,ADV-0127,The Tenebrous Stone,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Social Interaction Emphasis,phase6-v0.3,experiments/production-backlog-002/production-backlog-002-qwen-social-adv0127-v1.yml
119,2,49,ADV-0127,The Tenebrous Stone,Forgotten Realms: Adventures in Faerûn,Wizards of the Coast,1,Investigation Emphasis,phase6-v0.4,experiments/production-backlog-002/production-backlog-002-qwen-investigation-adv0127-v1.yml
120,2,50,ADV-0015,Most Excellent Fireworks,Shire Adventures,Free League Publishing,4,Levels,levels-v2.1,experiments/production-backlog-002/production-backlog-002-qwen-levels-adv0015-v1.yml
121,2,51,ADV-0015,Most Excellent Fireworks,Shire Adventures,Free League Publishing,4,Combat Emphasis,production-base,experiments/production-backlog-002/production-backlog-002-qwen-combat-adv0015-v1.yml
122,2,52,ADV-0015,Most Excellent Fireworks,Shire Adventures,Free League Publishing,4,Structural Openness,production-base,experiments/production-backlog-002/production-backlog-002-qwen-structural-openness-adv0015-v1.yml
123,2,53,ADV-0015,Most Excellent Fireworks,Shire Adventures,Free League Publishing,4,Darkness / Horror Intensity,production-base,experiments/production-backlog-002/production-backlog-002-qwen-darkness-adv0015-v1.yml
124,2,54,ADV-0015,Most Excellent Fireworks,Shire Adventures,Free League Publishing,4,Player Beginner Suitability,production-base,experiments/production-backlog-002/production-backlog-002-qwen-player-beginner-adv0015-v1.yml
125,2,55,ADV-0015,Most Excellent Fireworks,Shire Adventures,Free League Publishing,4,Social Interaction Emphasis,phase6-v0.3,experiments/production-backlog-002/production-backlog-002-qwen-social-adv0015-v1.yml
126,2,56,ADV-0015,Most Excellent Fireworks,Shire Adventures,Free League Publishing,4,Investigation Emphasis,phase6-v0.4,experiments/production-backlog-002/production-backlog-002-qwen-investigation-adv0015-v1.yml
127,2,57,ADV-0089,Presto Change-o,The Game Master's Book of Random Encounters,Topix Media Lab,12,Levels,levels-v2.1,experiments/production-backlog-002/production-backlog-002-qwen-levels-adv0089-v1.yml
128,2,58,ADV-0089,Presto Change-o,The Game Master's Book of Random Encounters,Topix Media Lab,12,Combat Emphasis,production-base,experiments/production-backlog-002/production-backlog-002-qwen-combat-adv0089-v1.yml
129,2,59,ADV-0089,Presto Change-o,The Game Master's Book of Random Encounters,Topix Media Lab,12,Structural Openness,production-base,experiments/production-backlog-002/production-backlog-002-qwen-structural-openness-adv0089-v1.yml
130,2,60,ADV-0089,Presto Change-o,The Game Master's Book of Random Encounters,Topix Media Lab,12,Darkness / Horror Intensity,production-base,experiments/production-backlog-002/production-backlog-002-qwen-darkness-adv0089-v1.yml
131,2,61,ADV-0089,Presto Change-o,The Game Master's Book of Random Encounters,Topix Media Lab,12,Player Beginner Suitability,production-base,experiments/production-backlog-002/production-backlog-002-qwen-player-beginner-adv0089-v1.yml
