adventure_id,adventure_title,source_book,publisher,page_count,level_start,level_end,levels_action,decision,reason
ADV-0593,The Wizard's Man,The Mirkwood Campaign,Sophisticated Games / Cubicle 7 Entertainment,3,,,SCORE,SELECT,explicit_target_11_scores_blank_source_preflight_pass
ADV-0594,The Folk-moot at Rhosgobel,The Mirkwood Campaign,Sophisticated Games / Cubicle 7 Entertainment,4,,,SCORE,SELECT,explicit_target_11_scores_blank_source_preflight_pass
ADV-0595,The Questing Beasts,The Mirkwood Campaign,Sophisticated Games / Cubicle 7 Entertainment,4,,,SCORE,SELECT,explicit_target_11_scores_blank_source_preflight_pass
ADV-0596,The Pit of the Exiled Dwarves,The Mirkwood Campaign,Sophisticated Games / Cubicle 7 Entertainment,2,,,SCORE,SELECT,explicit_target_11_scores_blank_source_preflight_pass
ADV-0597,Secrets Buried,The Mirkwood Campaign,Sophisticated Games / Cubicle 7 Entertainment,5,,,SCORE,SELECT,explicit_target_11_scores_blank_source_preflight_pass
ADV-0598,The Helm of Peace,The Mirkwood Campaign,Sophisticated Games / Cubicle 7 Entertainment,4,,,SCORE,SELECT,explicit_target_11_scores_blank_source_preflight_pass
ADV-0599,The Staff of the Roadwarden,The Mirkwood Campaign,Sophisticated Games / Cubicle 7 Entertainment,3,,,SCORE,SELECT,explicit_target_11_scores_blank_source_preflight_pass
ADV-0600,The Beast of the Forest,The Mirkwood Campaign,Sophisticated Games / Cubicle 7 Entertainment,4,,,SCORE,SELECT,explicit_target_11_scores_blank_source_preflight_pass
ADV-0601,The Lost Path,The Mirkwood Campaign,Sophisticated Games / Cubicle 7 Entertainment,4,,,SCORE,SELECT,explicit_target_11_scores_blank_source_preflight_pass
ADV-0602,Treacherous Waters,The Mirkwood Campaign,Sophisticated Games / Cubicle 7 Entertainment,4,,,SCORE,SELECT,explicit_target_11_scores_blank_source_preflight_pass
ADV-0603,Murder in Lake-town,The Mirkwood Campaign,Sophisticated Games / Cubicle 7 Entertainment,7,,,SCORE,SELECT,explicit_target_11_scores_blank_source_preflight_pass
ADV-0604,The Siege of Black Tarn Hall,The Mirkwood Campaign,Sophisticated Games / Cubicle 7 Entertainment,5,,,SCORE,SELECT,explicit_target_11_scores_blank_source_preflight_pass
