case_index,pack_index,pack_case_index,adventure_index,adventure_id,adventure_title,source_book,publisher,page_count,dimension,profile,model_alias,runtime_key,manifest_path
121,3,1,11,ADV-0476,Council of Waterdeep,Tyranny of Dragons,Wizards of the Coast,6,# of Sessions,nos-clean-blind-v1,qwen27,base,experiments/production-backlog-020/production-backlog-020-qwen27-nos-adv0476-v1.yml
122,3,2,11,ADV-0476,Council of Waterdeep,Tyranny of Dragons,Wizards of the Coast,6,Exploration Emphasis,ee-clean-reset-v0.5,gptoss,ee,experiments/production-backlog-020/production-backlog-020-gptoss-ee-adv0476-v1.yml
123,3,3,11,ADV-0476,Council of Waterdeep,Tyranny of Dragons,Wizards of the Coast,6,GM Preparation Burden,gmpb-v0.6-dependency-fan-out,gemma,gmpb,experiments/production-backlog-020/production-backlog-020-gemma-gmpb-adv0476-v1.yml
124,3,4,11,ADV-0476,Council of Waterdeep,Tyranny of Dragons,Wizards of the Coast,6,Combat Emphasis,production-base,qwen,base,experiments/production-backlog-020/production-backlog-020-qwen-combat-adv0476-v1.yml
125,3,5,11,ADV-0476,Council of Waterdeep,Tyranny of Dragons,Wizards of the Coast,6,Social Interaction Emphasis,phase6-v0.3,qwen,base,experiments/production-backlog-020/production-backlog-020-qwen-social-adv0476-v1.yml
126,3,6,11,ADV-0476,Council of Waterdeep,Tyranny of Dragons,Wizards of the Coast,6,Investigation Emphasis,phase6-v0.4,qwen,base,experiments/production-backlog-020/production-backlog-020-qwen-investigation-adv0476-v1.yml
127,3,7,11,ADV-0476,Council of Waterdeep,Tyranny of Dragons,Wizards of the Coast,6,Structural Openness,production-base,qwen,base,experiments/production-backlog-020/production-backlog-020-qwen-structural-openness-adv0476-v1.yml
128,3,8,11,ADV-0476,Council of Waterdeep,Tyranny of Dragons,Wizards of the Coast,6,Darkness / Horror Intensity,production-base,qwen,base,experiments/production-backlog-020/production-backlog-020-qwen-darkness-adv0476-v1.yml
129,3,9,11,ADV-0476,Council of Waterdeep,Tyranny of Dragons,Wizards of the Coast,6,Player Beginner Suitability,production-base,qwen,base,experiments/production-backlog-020/production-backlog-020-qwen-player-beginner-adv0476-v1.yml
130,3,10,11,ADV-0476,Council of Waterdeep,Tyranny of Dragons,Wizards of the Coast,6,GM Beginner Suitability,gmbs-clean-blind-v0.3,qwen,base,experiments/production-backlog-020/production-backlog-020-qwen-gmbs-adv0476-v1.yml
131,3,11,11,ADV-0476,Council of Waterdeep,Tyranny of Dragons,Wizards of the Coast,6,Seriousness,seriousness-reset-only,qwen,seriousness,experiments/production-backlog-020/production-backlog-020-qwen-seriousness-adv0476-v1.yml
132,3,12,11,ADV-0476,Council of Waterdeep,Tyranny of Dragons,Wizards of the Coast,6,Levels,levels-v2.1,qwen,base,experiments/production-backlog-020/production-backlog-020-qwen-levels-adv0476-v1.yml
133,3,13,12,ADV-0477,The Sea of Moving Ice,Tyranny of Dragons,Wizards of the Coast,14,# of Sessions,nos-clean-blind-v1,qwen27,base,experiments/production-backlog-020/production-backlog-020-qwen27-nos-adv0477-v1.yml
134,3,14,12,ADV-0477,The Sea of Moving Ice,Tyranny of Dragons,Wizards of the Coast,14,Exploration Emphasis,ee-clean-reset-v0.5,gptoss,ee,experiments/production-backlog-020/production-backlog-020-gptoss-ee-adv0477-v1.yml
135,3,15,12,ADV-0477,The Sea of Moving Ice,Tyranny of Dragons,Wizards of the Coast,14,GM Preparation Burden,gmpb-v0.6-dependency-fan-out,gemma,gmpb,experiments/production-backlog-020/production-backlog-020-gemma-gmpb-adv0477-v1.yml
136,3,16,12,ADV-0477,The Sea of Moving Ice,Tyranny of Dragons,Wizards of the Coast,14,Combat Emphasis,production-base,qwen,base,experiments/production-backlog-020/production-backlog-020-qwen-combat-adv0477-v1.yml
137,3,17,12,ADV-0477,The Sea of Moving Ice,Tyranny of Dragons,Wizards of the Coast,14,Social Interaction Emphasis,phase6-v0.3,qwen,base,experiments/production-backlog-020/production-backlog-020-qwen-social-adv0477-v1.yml
138,3,18,12,ADV-0477,The Sea of Moving Ice,Tyranny of Dragons,Wizards of the Coast,14,Investigation Emphasis,phase6-v0.4,qwen,base,experiments/production-backlog-020/production-backlog-020-qwen-investigation-adv0477-v1.yml
139,3,19,12,ADV-0477,The Sea of Moving Ice,Tyranny of Dragons,Wizards of the Coast,14,Structural Openness,production-base,qwen,base,experiments/production-backlog-020/production-backlog-020-qwen-structural-openness-adv0477-v1.yml
140,3,20,12,ADV-0477,The Sea of Moving Ice,Tyranny of Dragons,Wizards of the Coast,14,Darkness / Horror Intensity,production-base,qwen,base,experiments/production-backlog-020/production-backlog-020-qwen-darkness-adv0477-v1.yml
141,3,21,12,ADV-0477,The Sea of Moving Ice,Tyranny of Dragons,Wizards of the Coast,14,Player Beginner Suitability,production-base,qwen,base,experiments/production-backlog-020/production-backlog-020-qwen-player-beginner-adv0477-v1.yml
142,3,22,12,ADV-0477,The Sea of Moving Ice,Tyranny of Dragons,Wizards of the Coast,14,GM Beginner Suitability,gmbs-clean-blind-v0.3,qwen,base,experiments/production-backlog-020/production-backlog-020-qwen-gmbs-adv0477-v1.yml
